,Who,Where,When,What,Why,How,Additional information
0,0.8,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
1,0.9473684210526315,0.0,0.0,1.0,0.0,0.0,1.0
2,1.0,0.7692307692307693,0.0,0.8333333333333334,0.0,0.0,0.0
3,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0
4,1.0,1.0,0.0,0.7692307692307693,0.0,0.0,0.0
5,0.6666666666666666,1.0,0.0,0.7142857142857143,0.0,0.0,0.0
6,1.0,1.0,1.0,1.0,1.0,0.5,1.0
7,1.0,1.0,0.0,1.0,0.0,0.625,0.0
8,1.0,0.5,1.0,0.8888888888888888,1.0,1.0,1.0
9,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
11,0.7058823529411765,0.0,0.0,0.7619047619047619,0.0,0.8,0.0
12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.75,0.0,0.8,0.0
14,1.0,0.6666666666666666,0.0,0.7142857142857143,0.0,0.0,1.0
15,1.0,1.0,0.5714285714285714,0.5,0.0,0.0,0.6666666666666666
16,1.0,0.0,0.0,1.0,0.0,0.0,0.7058823529411765
17,0.8571428571428571,0.8888888888888888,0.0,0.6666666666666666,0.0,0.0,0.0
18,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0
19,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.9,0.0,0.0,0.0
24,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
26,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0
27,0.0,1.0,0.0,0.7058823529411765,0.0,0.0,0.0
28,0.8,0.7692307692307693,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0
30,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
31,0.75,0.0,0.0,1.0,0.0,0.0,0.0
32,0.8571428571428571,0.625,0.0,1.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.2,0.0,0.0,0.0
34,0.8,0.0,0.0,0.5,0.5,0.0,0.0
35,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36,1.0,1.0,0.0,0.0,0.0,0.0,0.0
37,0.9090909090909091,0.0,0.0,0.8,0.0,0.0,0.0
38,1.0,0.0,0.0,1.0,0.0,0.0,0.0
39,1.0,0.5,0.0,1.0,0.0,0.0,0.5
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.0,1.0,0.0,0.5555555555555556,0.0,0.0,0.0
42,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
43,1.0,0.6666666666666666,0.0,0.7777777777777778,0.0,0.0,0.0
44,1.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
45,1.0,0.5,0.0,0.9411764705882353,0.0,0.0,0.0
46,1.0,0.0,0.0,1.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1.0,0.0,1.0,0.0
48,1.0,0.0,0.0,0.0,0.0,0.0,0.5
49,1.0,0.5,0.2,1.0,1.0,0.5,0.5
50,1.0,0.0,0.0,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,1.0,0.0,0.0,0.5
52,0.9411764705882353,1.0,0.0,0.5882352941176471,0.0,0.0,0.0
53,0.8,0.0,0.0,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,1.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.9090909090909091,1.0,0.0,0.625,0.0,0.0,0.0
58,1.0,1.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1.0,0.75,0.0,0.5555555555555556,0.0,0.0,0.0
61,1.0,0.0,0.0,0.5,0.0,0.0,0.0
62,1.0,1.0,0.0,1.0,0.0,0.0,0.0
63,0.0,0.5,0.0,0.7058823529411765,0.0,0.0,0.0
64,1.0,0.0,0.0,1.0,0.0,0.5,1.0
65,1.0,0.0,0.0,1.0,0.0,0.0,0.0
66,1.0,0.0,0.0,1.0,0.0,0.0,0.0
67,0.9473684210526315,1.0,0.0,0.0,0.0,0.0,0.0
68,0.8,0.0,0.0,1.0,0.0,0.0,0.0
