SUB,SUBM,AT,VERB,VERBM,OBJ,IOBJ,TIME,MANNER,CAUSE,PURPOSE,COMPANY,INSTRUMENT,SUBJECT,MATTER,CONCESSION,QUANTITY,OWNERCHIP,DOUBT,AC,RC,PC,CLASS
2.94443897916644,3.63758615972639,0,2.15948424935337,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,2.53897387105828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
2.02814824729229,0,0,2.56494935746154,0,1.84582669049833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
3.63758615972639,0,0,2.2512917986065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2.02814824729229,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2512917986065,entailment
3.63758615972639,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
2.2512917986065,0,0,2.15948424935337,0,1.84582669049833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
3.63758615972639,0,0,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
2.94443897916644,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63758615972639,contradiction
3.63758615972639,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63758615972639,neutral
2.02814824729229,0,0,2.15948424935337,0,1.69167601067107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,3.25809653802148,0,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
2.94443897916644,1.55814461804655,0,0,0,2.02814824729229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
3.63758615972639,0,0,3.25809653802148,0,1.55814461804655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,2.15948424935337,0,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,2.02814824729229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,3.63758615972639,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
3.63758615972639,0,0,2.56494935746154,0,3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,1.33500106673234,1.69167601067107,2.15948424935337,1.15267950993839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,1.87180217690159,0,2.53897387105828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,3.25809653802148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
2.53897387105828,0,0,1.84582669049833,0,1.84582669049833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,1.87180217690159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
1.69167601067107,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
2.94443897916644,2.02814824729229,0,1.87180217690159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
1.69167601067107,1.44036158239017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
2.53897387105828,0,0,1.69167601067107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
3.63758615972639,0,0,3.63758615972639,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,2.15948424935337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
2.53897387105828,0,0,1.64865862558738,0,2.53897387105828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
2.2512917986065,0,0,0,0,1.15267950993839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,3.25809653802148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entailment
3.63758615972639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,1.87180217690159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3.63758615972639,0,0,2.15948424935337,0,1.33500106673234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contradiction
