CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_
entailment,30.49648762,1.631951049,9.577687502,0,6.800851107,0.239603393,0.642470375,0,5.689712759,0.446589632,2.453069411,0,0,0,0,0,28,7,7,0,8,2,2,0,11,3,3,0,0,0,0,0
entailment,29.2687086,4.735214055,5.257172376,0,4.513305649,8.615626812,0.600425184,0,11.05841058,1.788770795,2.480297536,0,0,0,0,0,24,6,6,0,8,2,2,0,12,3,3,0,0,0,0,0
contradiction,16.5722238,2.372668087,5.897129953,0,6.348648548,1.392651983,4.144476146,0,1.746274769,0.347016901,3.661071062,0,0,0,0,0,11,5,6,0,6,3,3,0,2,1,1,0,0,0,0,0
contradiction,9.04316932,0,5.683739495,0,3.913143873,0,0.534476262,0,4.659870207,0,7.385666281,0,0,0,0,0,7,0,14,0,3,0,6,0,5,0,10,0,0,0,0,0
neutral,15.62280864,0,1.216604585,0,2.219383299,0,0.207801424,0,3.077783287,0,1.261640653,0,2.668364346,0,0.411896735,0,9,0,6,0,3,0,2,0,3,0,2,0,3,0,1,0
neutral,27.34486999,0,8.628016673,0,3.232500136,0,0.27869409,0,13.73623402,0,5.594664264,0,1.759517312,0,1.327287771,0,18,0,16,0,2,0,2,0,17,0,15,0,3,0,4,0
neutral,15.60406408,0,2.941710241,0,3.042817429,0,0.128068745,0,3.382659979,0,2.596376657,0,0,0,0,0,16,0,4,0,4,0,1,0,4,0,1,0,0,0,0,0
entailment,19.26113945,4.492913812,4.244141191,0,4.328791082,8.372845411,1.345906049,0,20.1826431,3.325005472,4.098049343,0,0,0,0,0,18,5,5,0,8,2,2,0,15,4,4,0,0,0,0,0
neutral,10.16676874,5.680261523,2.159925107,0,0,0,0,0,1.651495993,0.902464449,1.6735202,0,0,0,0,0,8,4,8,0,0,0,0,0,2,1,2,0,0,0,0,0
entailment,65.73104879,0,8.234133542,0,21.7239998,0,2.952142492,0,7.863925368,0,1.719080567,0,0,0,0,0,40,0,10,0,24,0,6,0,8,0,2,0,0,0,0,0
neutral,8.955428481,4.119996011,1.540306654,0,8.005057693,7.273731232,2.657506511,0,3.230874553,1.958345115,1.686837554,0,0,0,0,0,8,4,7,0,6,3,6,0,4,2,4,0,0,0,0,0
contradiction,21.5733707,0,4.651523694,0,6.587234795,0,1.664691642,0,2.195104219,0,1.408381164,0,0,0,0,0,18,0,6,0,9,0,3,0,4,0,2,0,0,0,0,0
entailment,2.832832098,0,0.857145946,0,0,0,0,0,0.842407286,0,10.16230768,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,11,0,0,0,0,0
contradiction,15.50986743,0,6.784105051,4.018152043,1.272325218,0,0.426076472,0.440534949,1.503641529,0,2.233242244,1.275050163,0,0,0,0,12,0,6,6,2,0,1,1,4,0,2,2,0,0,0,0
neutral,49.2037383,13.30346124,8.986812994,0,9.705490381,4.604392976,1.683585718,0,12.7703875,1.066109449,9.263088316,0,0,0,0,0,45,18,16,0,13,6,6,0,15,6,5,0,0,0,0,0
neutral,18.57021391,0,0.222750804,0,0,0,0,0,7.441346318,0,0.34408465,0,0,0,0,0,12,0,4,0,0,0,0,0,6,0,2,0,0,0,0,0
entailment,15.64114062,0,7.106446998,0,6.380340248,0,8.370942838,0,3.808699697,0,8.485384166,0,0,0,0,0,12,0,10,0,10,0,9,0,8,0,6,0,0,0,0,0
