CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_
entailment,18.16763746738434,0.5572023093700409,3.7411530017852783,0,1.6096103191375732,0,0,0,0,0.30317580699920654,2.0916287899017334,0,0,0,0,0,11,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0
entailment,18.31827700138092,1.5915511846542358,3.1047393083572388,0,0,8.615626811981201,0,0,3.762427866458893,0,1.4106248617172241,0,0,0,0,0,8,1,2,0,0,2,0,0,3,0,1,0,0,0,0,0
contradiction,9.525089740753174,1.8245916366577148,0,0,2.724820613861084,0.9092902541160583,2.6506383419036865,0,0,0,3.6610710620880127,0,0,0,0,0,3,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
contradiction,6.220227956771851,0,1.2367109060287476,0,0,0,0,0,0,0,5.776214689016342,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
neutral,12.571066975593567,0,0.7310543283820152,0,0.7217443585395813,0,0,0,0,0,1.261640653014183,0,1.4746081829071045,0,0,0,4,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0
neutral,16.753153085708618,0,3.778991714119911,0,2.267704963684082,0,0,0,2.0872960090637207,0,3.225898027420044,0,0,0,0.092674188,0,6,0,3,0,1,0,0,0,1,0,4,0,0,0,1,0
neutral,10.857162594795227,0,1.3920421600341797,0,1.207573652267456,0,0,0,2.000063478946686,0,2.596376657485962,0,0,0,0,0,5,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0
entailment,10.507404685020447,0,1.9274400472640991,0,0,8.372845411,0,0,8.876235485076904,0,2.187359333,0,0,0,0,0,5,0,1,0,0,2,0,0,3,0,1,0,0,0,0,0
neutral,8.488348960876465,4.910164296627045,0.7669588848948479,0,0,0,0,0,0,0,1.6735201999545097,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
entailment,33.445632338523865,0,4.454625844955444,0,4.555055618286133,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
neutral,3.851238489151001,0,0.091749504,0,4.415403842926025,6.465600609779358,1.037729635834694,0,1.7176814079284668,0,1.0179857015609741,0,0,0,0,0,1,0,1,0,2,2,2,0,1,0,1,0,0,0,0,0
contradiction,15.747499942779541,0,1.5763686895370483,0,0,0,0,0,0.9761106371879578,0,1.3543733358383179,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
entailment,2.832832098007202,0,0,0,0,0,0,0,0,0,7.944058731198311,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
contradiction,12.340731143951416,0,3.7450506687164307,2.177699327468872,0,0,0,0,0,0,2.1625900268554688,1.201322078704834,0,0,0,0,4,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0
neutral,27.423123598098755,9.672872543334961,1.3187241554260254,0,3.829264283180237,3.4722821712493896,0,0,8.776406765,0,8.926045179367065,0,0,0,0,0,10,4,1,0,2,2,0,0,4,0,4,0,0,0,0,0
neutral,14.239918947219849,0,0.11833841353654861,0,0,0,0,0,3.6436753273010254,0,0.24826110899448395,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
entailment,12.393784761428833,0,0,0,2.095593035,0,4.32701651,0,0,0,5.017128884792328,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0
contradiction,8.93951416,0,1.0553902760148048,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
contradiction,7.783972263336182,1.7980860471725464,0,0,1.9170784950256348,4.021113395690918,0,0,0,0,1.5715878009796143,0,2.1332626342773438,0,1.666535735,0,2,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
entailment,30.73070717,0,3.629185102880001,0,7.629617094993591,0,0,0,0,0,9.072951197624207,0,0,0,0,0,10,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0
entailment,9.592509269714355,0,1.2367109060287476,0,2.194563627243042,0,0,0,0,0,1.618172526359558,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
entailment,12.597863912582397,0,4.231226839125156,0,3.8244454860687256,0,0,0,0,0,0.1396418809890747,0,0,0,0,0,4,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0
neutral,5.748511314,1.0813508033752441,2.194262996315956,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
contradiction,12.42074203491211,0,0.1192997395992279,1.2528036832809448,0,0,0,0,0,0,0.16058138012886047,0.9103710651397705,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
entailment,9.650469779968262,0,0,0,0,0,2.564713716506958,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neutral,15.786832451820374,6.495512247085571,0,0,5.884809732437134,13.721322059631348,0,0,0,0,0.22976097464561462,0,0,0,0.094999462,0,7,3,0,0,3,3,0,0,0,0,1,0,0,0,1,0
entailment,5.0736342668533325,0,1.617421269416809,0,0.8720322847366333,0,0,0,1.7494971752166748,0,2.1305434703826904,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
entailment,20.797985553741455,0,1.5146775506436825,0,0,0,0,0,0,0,2.1389866918325424,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
entailment,13.472008466720581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,4.9942216873168945,0,0.8938384056091309,0,0,0,0,0,0.8936454057693481,0,0.042025417,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
neutral,7.527708292007446,0.29236897826194763,0,0,0,4.925426959991455,0,0,0,0.25200724601745605,3.0742671489715576,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
contradiction,2.793856382369995,0,0,2.3747642040252686,1.7089186906814575,0,0,0,0,0,0,0,0,0,0.2439275160431862,6.664102316,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,4
contradiction,23.92706024646759,0,3.8728435039520264,0,6.266352415084839,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
entailment,0,0,0,0.7146703600883484,0,0,0,0,3.418924093,0,1.724339671432972,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0
contradiction,9.215197205543518,0,2.3812084197998047,2.150824785232544,5.454672336578369,0,0,0,0.9825250506401062,0,3.3112170696258545,2.9939799308776855,0,0,0,0,4,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0
neutral,17.58438253,6.946914792060852,0,0,0,3.458416223526001,0,0,0,0,9.867723107337952,0,6.313266038894653,0,7.825571656227112,4.582639455795288,6,4,0,0,0,2,0,0,0,0,3,0,2,0,3,2
entailment,10.28624153137207,0,0,0,0,0,0,0,0,0,0.045928049832582474,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,7.303348541259766,0,0.052726377,0,0,0,0,0,1.7598204612731934,0,3.5629656314849854,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
neutral,17.730831146240234,8.370198011398315,0.214376763,0,10.030086755752563,14.801817178726196,0,0,0,0,0.099258468,0,0,0,0,0,5,4,2,0,4,5,0,0,0,0,1,0,0,0,0,0
entailment,13.655980825424194,5.052177072,3.2264141365885735,0,1.9491206407546997,0,1.1567123234272003,0,3.7236568927764893,0,4.463101878762245,0,0,0,0,0,4,3,2,0,1,0,2,0,1,0,2,0,0,0,0,0
neutral,3.1743438243865967,2.184919595718384,1.449426420032978,0,0,0,0,0,0,0,0.3558518588542938,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,9.323485016822815,0,0,0,0,5.8881754875183105,0,0,0,0,1.3442813605070114,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
contradiction,9.240477561950684,2.067955732345581,0,0.9468148350715637,0,0,0,0,0,0,0.065466762,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
neutral,19.79177451133728,0,1.5066888481378555,0,1.4199254512786865,0,1.2312135770916939,0,0,0,2.602816551923752,0,0,0,0,0,8,0,3,0,1,0,2,0,0,0,2,0,0,0,0,0
entailment,3.214689254760742,0,0,0,3.704441785812378,0,1.6546792089939117,5.941913604736328,2.1965842247009277,0,1.2591897696256638,3.634366512298584,0,0,0,0,1,0,0,0,2,0,2,1,1,0,2,1,0,0,0,0
neutral,10.901160597801208,0,4.491446137428284,0.8374423086643219,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
