CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_
entailment,24.94683164,1.251960292,8.168020844,0,5.348380625,0,0,0,2.053277999,0.303175807,2.09162879,0,0,0,0,0,0.727272727,0.227272727,0.227272727,0,0.272727273,0,0,0,0.090909091,0.045454545,0.045454545,0,0,0,0,0
entailment,24.64617115,3.984222949,4.437696636,0,1.038339496,8.615626812,0,0,8.31095469,0,1.410624862,0,0,0,0,0,0.666666667,0.19047619,0.19047619,0,0.095238095,0.095238095,0,0,0.333333333,0,0.047619048,0,0,0,0,0
contradiction,14.29364038,2.069944605,3.687874317,0,4.736141384,1.300978422,2.650638342,0,0.546413958,0.347016901,3.661071062,0,0,0,0,0,0.333333333,0.111111111,0.166666667,0,0.166666667,0.111111111,0.055555556,0,0.055555556,0.055555556,0.055555556,0,0,0,0,0
contradiction,6.220227957,0,4.15921022,0,3.913143873,0,0,0,3.244059443,0,6.960701197,0,0,0,0,0,0.12,0,0.24,0,0.12,0,0,0,0.08,0,0.24,0,0,0,0,0
neutral,13.28912157,0,0.775648184,0,0.721744359,0,0,0,2.450579047,0,1.261640653,0,1.474608183,0,0,0,0.416666667,0,0.25,0,0.083333333,0,0,0,0.166666667,0,0.166666667,0,0.083333333,0,0,0
neutral,21.09783494,0,6.833146095,0,2.267704964,0,0.040094014,0,7.106086969,0,3.276916046,0,0,0,1.052139334,0,0.28125,0,0.25,0,0.03125,0,0.03125,0,0.15625,0,0.15625,0,0,0,0.0625,0
neutral,14.33171591,0,2.852440596,0,2.417730808,0,0,0,3.293390334,0,2.596376657,0,0,0,0,0,0.846153846,0,0.230769231,0,0.153846154,0,0,0,0.230769231,0,0.076923077,0,0,0,0,0
entailment,16.34587242,2.748271465,3.371956348,0,1.194057733,8.372845411,0.908582628,0,15.18257102,1.229884267,2.187359333,0,0,0,0,0,0.611111111,0.111111111,0.166666667,0,0.111111111,0.111111111,0.055555556,0,0.388888889,0.055555556,0.055555556,0,0,0,0,0
neutral,9.396691412,5.376312315,1.975323929,0,0,0,0,0,1.651495993,0.902464449,1.6735202,0,0,0,0,0,0.384615385,0.230769231,0.384615385,0,0,0,0,0,0.153846154,0.076923077,0.153846154,0,0,0,0,0
entailment,55.58056533,0,6.06548202,0,8.995649695,0,0.872601151,0,3.500409365,0,1.719080567,0,0,0,0,0,0.862068966,0,0.172413793,0,0.172413793,0,0.034482759,0,0.068965517,0,0.068965517,0,0,0,0,0
